tempmax,tempmin,temp,dew,humidity,precip,windspeed,cloudcover,sealevelpressure,visibility,GDP,HEP,forest_percent,TP0_14,TP65_,TP15_64,population_density,UPR,Tourist_Arrivals,CO2,ISO_A0
-1.4874293,0.8669601,0.09750768,-0.18253645,-0.36468345,-2.345607,-0.10738968,0.07715782,-0.94916105,0.7440966,2.8535678,1.8925111,-1.0642624,-0.038123086,0.23725605,-13.4928055,1.2952802,0.06851825,-14.008127,-1.6662376,PHL
2.8903213,-0.9750082,3.9996698,-1.2476913,-2.2345145,-4.512142,2.2126615,2.0506475,-2.5938878,-0.2295493,-1.0842793,-2.9559243,-1.0597049,-0.3010316,0.69747835,-9.376932,-5.313044,-1.2201301,-0.22929645,-1.7433484,KHM
0.84706926,-1.7531245,0.9829109,-0.81480414,-1.6327349,-3.0590425,-0.7427917,-0.59352255,-0.51348346,-0.57632196,-0.43393135,-5.463792,-2.2325106,-0.93679154,-1.179435,1.1707004,-0.3043112,0.11348067,-17.494684,0.5703735,THA
1.1033031,1.4388773,1.8976626,1.0195755,-0.08510574,5.260101,15.799554,1.1027153,12.189646,2.1906254,2.524105,-1.5934123,1.1993352,2.4532394,3.079781,11.16237,3.5065155,0.08054279,17.83031,-0.34552407,THA
0.29675385,-1.0060782,0.49014848,-1.0059694,-3.3676834,-4.1991057,-1.9531704,-2.2764866,-3.2618942,-0.27869868,2.6661544,2.9717615,2.4579117,1.5143976,1.0455027,-14.077159,1.802867,-0.5066924,2.0651755,-0.4108672,KHM
0.81466043,-0.62448084,-0.16183612,0.52136457,1.8464794,1.956166,-3.5627217,0.6381581,-1.7667354,-0.38112047,-3.940716,-2.2545235,1.8427223,-0.2750549,-1.7639096,-15.381872,-2.8782759,-1.2323815,-4.276575,0.7584404,LAO
-0.7572153,0.043596275,0.091095865,0.84741914,0.08848433,-2.260482,4.381819,-0.1835298,-1.2686104,-0.99209166,-1.4023554,-1.2932203,3.069112,-0.61774564,-1.7658447,-17.925629,-2.4350798,-0.9125819,-3.63526,-1.0296295,LAO
-0.6936676,-1.3528993,-0.3018787,0.013102206,-0.91460854,1.324422,-2.690847,-1.387926,-4.3493195,-3.1759965,-6.369947,-1.8080094,-2.1071975,-0.82382417,-1.3132954,3.3388627,0.5786846,-1.2730532,5.2091107,-0.53242546,THA
-0.44553074,-1.0029343,0.070081316,0.48070335,-0.6465013,-1.860069,3.1969395,2.0274084,4.2337646,-0.043759726,-1.066927,1.1298537,-0.71002764,-2.6209238,-0.2576862,-15.565403,-3.6844275,-2.2358522,-4.6033335,0.14539024,KHM
6.478754,11.741556,5.259126,0.39136317,2.4297993,10.521342,4.8234587,1.6764351,5.5750623,3.7203815,26.755848,10.525576,1.8976724,1.9018016,1.8223246,23.421026,2.5327077,-0.026727531,28.245832,3.884574,THA
-0.34719747,-1.543008,0.30700845,-0.39970455,2.463269,0.07927346,-1.3468509,-0.39848498,-0.90093684,-0.2822509,1.2063606,-0.047090907,0.5915137,-0.7552294,-0.6269397,-0.4658068,0.7787708,0.35668334,-20.375166,0.19805004,MYS
0.61100084,-0.8284867,-0.13919921,0.46909365,2.1509836,0.48612568,-2.7234418,0.50758845,0.47520712,-0.5583674,0.5078461,0.932431,-1.4728351,-1.5619038,-0.56018174,-11.448737,-0.11662352,-0.84146327,-17.671923,-4.54859,KHM
-0.7079859,-0.09322686,0.5346177,0.5582554,-0.3987857,1.3195934,3.9708688,-0.40664926,2.4157004,-0.59938294,-4.0975795,-1.7231629,1.6820576,-2.615748,-3.2448153,-18.070557,-3.444789,-1.8208668,-7.5541186,-2.5787408,LAO
0.7900316,0.9717471,1.1996065,0.50726926,-0.8323034,1.2915804,-1.5213362,-0.10966208,-2.3229334,0.34410644,-1.4120231,-1.9956667,-2.44895,-1.6788408,-1.8826749,2.5069923,1.1567054,0.3481496,-5.8837876,0.13770926,SGP
-1.695997,0.4964954,0.262995,0.23279668,-1.1219662,-2.0378232,-1.9123383,-0.74644476,-0.9769826,-0.26949134,-0.8464519,-5.133242,-3.5622938,-0.6907114,-1.3491206,2.4791026,-0.20715171,0.09152061,-16.24145,0.8346579,THA
0.61289734,-4.424398,-2.697757,-1.803617,-1.1082065,-7.5939584,-5.1477118,-0.44627354,-0.8722627,-0.7493747,2.210079,4.5857,-0.328133,-0.08302469,-0.6035668,6.0926013,0.9670151,0.04960204,0.85064423,2.3105829,THA
-0.99802566,-1.6894205,-0.19321941,-0.86074233,0.75336784,0.6623637,-1.3008686,-0.20916076,-1.7300975,0.14176627,1.2599868,-0.58201534,0.39178616,-0.63367695,-0.4047733,2.2449098,0.35032448,0.30592278,-20.810568,-0.56533504,MYS
-3.2499428,0.27746582,-0.5183003,0.6624718,-1.016162,-3.9207244,3.2693062,-1.9763972,0.7016194,-0.48190075,-1.920259,-0.17502655,-0.040175233,-0.29654893,-3.4435294,0.2828606,1.6746407,0.13704586,-19.927122,1.4411101,THA
-0.16657893,-2.0560858,-0.0033638193,0.994411,1.1130853,1.7309457,-3.6130612,0.7076277,-1.9443592,-0.2581608,-2.226509,2.100708,0.03953202,-0.5621338,1.8120873,3.9317412,0.45706287,0.07109398,3.171626,0.78461,MYS
-0.34031534,-0.088140264,-0.23113836,0.24230056,0.35156965,0.9147795,-1.5024837,0.40818506,-1.383602,-0.606495,-1.5607872,-1.9766462,2.473136,0.60720026,-2.058887,-19.021702,-3.3149266,-1.347925,-4.978405,-1.0217912,LAO
0.40573284,-0.44240966,0.9198023,0.119692,-3.5864084,1.834278,1.0039468,-1.4096702,-0.838296,-1.121567,-0.9401107,0.024365883,4.295983,1.3904797,-0.75891304,-12.72632,-1.846178,-0.6282892,-1.97781,-0.09446473,LAO
0.42743084,1.9336044,1.113714,0.50297844,1.231092,2.2173226,-2.3528588,0.10360664,5.2969713,-0.27662188,-4.4244056,0.36108857,-0.33312586,-0.2598187,-1.0396637,3.806208,0.7480057,-0.7595816,6.0773606,0.3018076,THA
0.5882766,-0.08525223,0.43540868,-0.7218295,-11.02671,-3.6046615,1.5879681,-0.74213016,-0.76079524,-1.2777925,3.6938133,1.3575714,3.5714722,0.033602607,1.8060248,-4.144468,3.544244,1.2981149,4.104743,5.6528916,PHL
0.7573844,-2.869082,-1.1599623,-1.4087739,0.2089906,-3.4234176,-3.534369,-1.9498421,1.3613139,-1.8536791,1.7713594,0.17142928,0.19681674,0.953149,-0.48676306,-1.6205642,-5.218998,-0.22130543,0.7265738,0.4654395,VNM
0.24772441,-1.7033938,-0.09728476,-0.5901351,0.22567217,-1.6711087,-2.7361405,1.9960073,0.6234785,0.35360616,2.6528363,3.5008812,3.1619296,1.7112547,1.6355641,10.753394,1.1115147,0.98321676,5.394276,0.71817625,MYS
-2.361305,1.2364767,0.73178995,-3.341858,-0.6801176,4.4009433,-4.5745325,0.24977852,-4.2794538,-0.9400356,-0.62292737,2.4686043,-0.38825667,0.5886459,-0.34145546,10.524468,1.1916593,-0.22543061,7.106122,4.0095615,THA
0.96582854,-2.30874,-0.69913703,-0.136669,1.0630478,1.1886563,-2.4292946,-0.17485823,-1.9313896,0.064803116,-0.3612643,-5.1113563,-1.2023177,-0.3040751,-5.4845085,-1.721537,-0.5587604,0.18280695,-8.517595,-0.399429,SGP
1.1989619,-0.39279404,-0.38224193,0.18765698,1.5070109,1.6420919,-3.8473394,1.0843931,-1.778017,-0.03355049,-3.7884746,-2.894109,1.8683857,-0.23052707,-1.555642,-15.037056,-2.721605,-2.157127,-3.819314,0.9909332,LAO
0.18585777,-1.0977432,0.08575442,-0.74505115,-2.2614977,-3.3435833,3.102734,-0.16338998,-2.0159323,-0.093629465,-0.57782936,-3.5851812,-0.33577952,-0.58879364,-0.071258225,-15.760407,-5.7950587,-1.1279545,-1.281871,-0.4999853,KHM
-1.826998,-1.2449425,0.4062132,0.4784071,0.08982908,-2.7026374,-1.6180339,0.823712,5.279577,-0.071493305,-0.77655923,-2.7566855,-1.2717705,-1.8502734,-0.7976052,-9.469229,-2.1373477,-1.1343366,-4.6949773,-1.197768,KHM
0.7136439,-0.9429318,0.37649637,-1.0650766,-5.688283,-3.1953442,1.1799304,-0.6018802,-0.80498356,0.02969968,2.9821293,1.1993014,-0.076336354,-0.48765147,-0.16973126,-11.215717,-0.8378552,0.114521116,-6.156085,-2.3909779,PHL
-3.4434452,0.48920473,-0.52580553,-0.703884,-1.34226,-2.8801668,-3.2598321,-0.2738281,3.2050612,-0.6014716,1.2721859,-4.1379724,-0.44341937,-0.17372717,-1.6524932,-1.6607158,-3.1620731,-0.16565579,-3.6980429,0.92462045,VNM
0.9167367,-0.4067914,0.8173699,-1.3515875,-0.020426687,1.5005964,-3.4925675,0.39965063,-1.7822065,1.4630075,-1.0640678,1.951101,0.7303139,-0.9941415,1.1260939,7.82884,0.40019673,0.963491,5.5191717,0.6841847,MYS
8.804673,0.6504777,-1.2610765,0.4387605,10.195963,-3.568919,1.9644492,1.401098,2.6658406,6.715114,7.4216676,2.3027518,6.5277705,-0.41725057,3.800722,11.278847,7.615393,5.289569,2.5326912,7.354653,LAO
-0.73225886,0.103911944,0.3971274,0.43152127,-0.81519175,-3.2823615,-2.792472,-2.0805154,-1.1573703,-1.3119159,0.65613645,-1.6387898,2.219026,-0.32754257,-0.5119543,-16.26384,-3.9425926,0.78973746,-3.2194514,1.3928643,LAO
0.008629418,-0.23477793,0.33127785,-1.1191579,-0.52617073,0.45959407,-1.4529943,-0.33087996,-1.584125,0.082080215,0.65219355,-2.5838025,-0.44850835,-1.5104855,-0.85187835,3.3177857,-0.60751367,0.37535837,-21.130383,-1.4470809,MYS
2.555991,0.8136522,0.48395765,-0.5053453,-0.05683765,5.15438,-1.5554223,1.5243368,-4.4431343,0.6651805,4.699123,8.612954,5.777945,0.79089916,3.0289304,14.651712,1.5334353,0.10718578,18.537628,3.280975,THA
0.62699884,-0.6760276,-0.046959575,-0.2905487,1.0087563,0.7883375,-5.2158203,1.8453364,-3.9694335,-0.38248888,0.49892557,2.322415,0.5184648,-0.10426396,1.0074216,4.0853558,0.73953915,0.7047619,7.1556735,0.13021693,MYS
-0.18050054,0.73515505,0.27390668,-0.88588446,-0.6693849,2.0470939,4.8823957,-0.518237,7.8050623,0.7403996,1.0068626,2.8438485,1.5558052,1.9373273,-0.11481628,-1.8921306,2.739086,0.16379303,-2.9361484,2.4953275,THA
0.79272336,-2.0526357,-1.2494453,-0.12380023,1.161798,1.6243006,-1.5740367,0.06521508,2.0086765,0.78743595,-0.7824,-5.014609,-0.58459693,-0.21778663,-8.714631,-1.9253051,-0.5438107,0.22231166,-7.640357,-0.7297411,SGP
-2.8117428,1.2490193,-0.6643647,0.7135328,-4.0697646,-2.3470986,-1.6139543,-0.7268997,0.79802793,-0.4255659,0.5073743,3.427472,-1.1242893,0.16691639,-0.05814247,-14.219429,0.85573983,-0.57465917,-12.555606,-2.3749304,KHM
-7.061385,2.3974698,0.10418989,0.34428224,-7.3965816,2.2061112,0.28455168,-1.5285224,-2.7860093,0.65415436,3.1097915,1.0120009,4.0733185,-0.22589593,1.6334187,-5.487719,2.862842,0.7307689,0.66973335,5.561025,PHL
-1.2182027,-0.52909714,0.03326373,-0.81356186,-4.2993164,-4.8705134,-4.0268593,-3.661689,-1.6528456,-1.3526231,5.9793715,0.0102476375,3.0049272,0.40189525,-0.033521242,-13.13755,-2.7935755,0.7016627,-0.37249678,2.638578,LAO
