adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/11/17,2013/11/23,2013,147,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/11/24,2013/11/30,2013,133,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/12/1,2013/12/7,2013,93,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/12/8,2013/12/14,2013,42,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/12/15,2013/12/21,2013,13,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/12/22,2013/12/28,2013,0,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/12/29,2014/1/4,2013,25,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/1/1,2013/12/31,2013,17533,Total,Admin0,Year,LITERATURE-ALL-20112019-Y01-02
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2014/1/5,2014/1/11,2014,30,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2014/1/12,2014/1/18,2014,19,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2014/1/19,2014/1/25,2014,19,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
